2025 09/08 17:25:29 [RUN 00038] G_OFF*: RAYRAW #5, phase 5
2025 09/08 17:25:30 [RUN 00038] STOP  : RAYRAW #5, phase 5
2025 09/08 17:26:39 [RUN 00039] START : RAYRAW #5, phase 6
2025 09/08 17:27:42 [RUN 00039] G_OFF*: RAYRAW #5, phase 6
2025 09/08 17:27:43 [RUN 00039] STOP  : RAYRAW #5, phase 6
2025 09/08 17:28:36 [RUN 00040] START : RAYRAW #5, phase 7
2025 09/08 17:29:42 [RUN 00040] G_OFF*: RAYRAW #5, phase 7
2025 09/08 17:29:43 [RUN 00040] STOP  : RAYRAW #5, phase 7
2025 09/08 17:33:15 [RUN 00041] START : RAYRAW #5, phase 0, ch26-24, ch31-29 swap
2025 09/08 17:34:31 [RUN 00041] G_OFF*: RAYRAW #5, phase 0, ch26-24, ch31-29 swap
2025 09/08 17:34:32 [RUN 00041] STOP  : RAYRAW #5, phase 0, ch26-24, ch31-29 swap
2025 09/08 17:36:30 [RUN 00042] START : RAYRAW #5, phase 0, ch26-24, ch31-29 swap
2025 09/08 17:37:05 [RUN 00042] G_OFF*: RAYRAW #5, phase 0, ch26-24, ch31-29 swap
2025 09/08 17:37:06 [RUN 00042] STOP  : RAYRAW #5, phase 0, ch26-24, ch31-29 swap
2025 09/08 17:38:32 [RUN 00043] START : RAYRAW #9, phase 0, ch26-24, ch31-29 swap
2025 09/08 17:45:06 [RUN 00044] START : RAYRAW #4, phase 7, ch26-24, ch31-29 swap
2025 09/08 17:46:48 [RUN 00044] G_OFF*: RAYRAW #4, phase 7, ch26-24, ch31-29 swap
2025 09/08 17:46:49 [RUN 00044] STOP  : RAYRAW #4, phase 7, ch26-24, ch31-29 swap
2025 09/09 14:02:46 [RUN 00045] START : RAYRAW #1, FW #1 installed
2025 09/09 14:11:35 [RUN 00045] G_OFF*: RAYRAW #1, FW #1 installed
2025 09/09 14:11:36 [RUN 00045] STOP  : RAYRAW #1, FW #1 installed
2025 09/09 14:23:40 [RUN 00046] START : RAYRAW #2, FW #2 installed
2025 09/09 14:25:28 [RUN 00046] G_OFF*: RAYRAW #2, FW #2 installed
2025 09/09 14:25:29 [RUN 00046] STOP  : RAYRAW #2, FW #2 installed
2025 09/09 14:27:20 [RUN 00047] START : RAYRAW #2, FW #2 installed
2025 09/09 14:30:52 [RUN 00047] G_OFF*: RAYRAW #2, FW #2 installed
2025 09/09 14:30:53 [RUN 00047] STOP  : RAYRAW #2, FW #2 installed
2025 09/09 14:39:28 [RUN 00048] START : RAYRAW #3, FW #3 installed
2025 09/09 14:48:07 [RUN 00048] G_OFF*: RAYRAW #3, FW #3 installed
2025 09/09 14:48:08 [RUN 00048] STOP  : RAYRAW #3, FW #3 installed
2025 09/09 14:58:21 [RUN 00049] START : RAYRAW #6, FW #4 installed
2025 09/09 15:00:38 [RUN 00049] G_OFF*: RAYRAW #6, FW #4 installed
2025 09/09 15:00:39 [RUN 00049] STOP  : RAYRAW #6, FW #4 installed
2025 09/09 15:08:23 [RUN 00050] START : RAYRAW #7, FW #2 installed
2025 09/09 15:11:55 [RUN 00050] G_OFF*: RAYRAW #7, FW #2 installed
2025 09/09 15:11:56 [RUN 00050] STOP  : RAYRAW #7, FW #2 installed
2025 09/09 15:20:43 [RUN 00051] START : RAYRAW #8, FW #5 installed
2025 09/09 15:23:35 [RUN 00051] G_OFF*: RAYRAW #8, FW #5 installed
2025 09/09 15:23:36 [RUN 00051] STOP  : RAYRAW #8, FW #5 installed
2025 09/11 04:03:08 [RUN 00052] START : Test tracker, dark run
2025 09/11 04:04:30 [RUN 00052] G_OFF*: Test tracker, dark run
2025 09/11 04:04:31 [RUN 00052] STOP  : Test tracker, dark run
2025 09/11 04:04:48 [RUN 00053] START : Test tracker, dark run, 10 hz
2025 09/11 04:05:21 [RUN 00053] G_OFF*: Test tracker, dark run, 10 hz
2025 09/11 04:05:22 [RUN 00053] STOP  : Test tracker, dark run, 10 hz
